[2018-01-17 21:42:00,022] =============
[2018-01-17 21:42:14,554] 0/20 8.146374
[2018-01-17 21:42:16,332] 0/40 6.866261
[2018-01-17 21:42:18,186] 0/60 6.728275
[2018-01-17 21:42:19,679] 0/80 6.641106
[2018-01-17 21:42:21,040] 0/100 6.362143
[2018-01-17 21:42:22,315] 0/120 6.144786
[2018-01-17 21:42:23,653] 0/140 5.821608
[2018-01-17 21:42:24,770] 0/160 5.339532
[2018-01-17 21:42:26,046] 0/180 5.239146
[2018-01-17 21:42:27,146] 0/200 5.044638
[2018-01-17 21:42:28,318] 0/220 4.900957
[2018-01-17 21:42:29,697] 0/240 4.783570
[2018-01-17 21:42:30,681] 0/260 4.715693
[2018-01-17 21:42:31,946] 0/280 4.618031
[2018-01-17 21:42:33,057] 0/300 4.526210
[2018-01-17 21:42:34,128] 0/320 4.370726
[2018-01-17 21:42:35,237] 0/340 4.373096
[2018-01-17 21:42:36,300] 0/360 4.304425
[2018-01-17 21:42:37,363] 0/380 4.343154
[2018-01-17 21:42:38,980] 0/400 4.295746
[2018-01-17 21:42:40,691] 0/420 4.115556
[2018-01-17 21:42:42,395] 0/440 4.164485
[2018-01-17 21:42:44,121] 0/460 4.164941
[2018-01-17 21:42:45,846] 0/480 4.073896
[2018-01-17 21:42:47,550] 0/500 4.005436
[2018-01-17 21:42:49,261] 0/520 3.955192
[2018-01-17 21:42:50,966] 0/540 3.922758
[2018-01-17 21:42:52,665] 0/560 3.912132
[2018-01-17 21:42:54,368] 0/580 3.868088
[2018-01-17 21:42:56,094] 0/600 3.941449
[2018-01-17 21:42:57,806] 0/620 3.737524
[2018-01-17 21:42:59,503] 0/640 3.761704
[2018-01-17 21:43:01,211] 0/660 3.740504
[2018-01-17 21:43:02,916] 0/680 3.738644
[2018-01-17 21:43:04,622] 0/700 3.729850
[2018-01-17 21:43:06,355] 0/720 3.691554
[2018-01-17 21:43:08,083] 0/740 3.685396
[2018-01-17 21:43:09,788] 0/760 3.620166
[2018-01-17 21:43:11,503] 0/780 3.696288
[2018-01-17 21:43:13,195] 0/800 3.629122
[2018-01-17 21:43:14,902] 0/820 3.661373
[2018-01-17 21:43:16,617] 0/840 3.527383
[2018-01-17 21:43:18,331] 0/860 3.580366
[2018-01-17 21:43:20,060] 0/880 3.483690
[2018-01-17 21:43:21,779] 0/900 3.502612
[2018-01-17 21:43:23,528] 0/920 3.568263
[2018-01-17 21:43:25,267] 0/940 3.500757
[2018-01-17 21:43:26,974] 0/960 3.484483
[2018-01-17 21:43:28,693] 0/980 3.517684
[2018-01-17 21:43:30,402] 0/1000 3.374810
[2018-01-17 21:43:32,121] 0/1020 3.496945
[2018-01-17 21:43:33,830] 0/1040 3.443070
[2018-01-17 21:43:35,543] 0/1060 3.424089
[2018-01-17 21:43:37,248] 0/1080 3.375684
[2018-01-17 21:43:38,947] 0/1100 3.314003
[2018-01-17 21:43:40,649] 0/1120 3.415799
[2018-01-17 21:43:42,368] 0/1140 3.317864
[2018-01-17 21:43:44,084] 0/1160 3.280162
[2018-01-17 21:43:45,807] 0/1180 3.340017
[2018-01-17 21:43:47,524] 0/1200 3.338014
[2018-01-17 21:43:49,216] 0/1220 3.276485
[2018-01-17 21:43:50,901] 0/1240 3.256122
[2018-01-17 21:43:52,672] 0/1260 3.224171
[2018-01-17 21:43:54,357] 0/1280 3.302832
[2018-01-17 21:43:56,053] 0/1300 3.242628
[2018-01-17 21:43:57,728] 0/1320 3.257547
[2018-01-17 21:43:59,454] 0/1340 3.295617
[2018-01-17 21:44:01,134] 0/1360 3.374701
[2018-01-17 21:44:02,820] 0/1380 3.228728
[2018-01-17 21:44:04,534] 0/1400 3.279446
[2018-01-17 21:44:06,275] 0/1420 3.271915
[2018-01-17 21:44:08,003] 0/1440 3.213176
[2018-01-17 21:44:09,703] 0/1460 3.217714
[2018-01-17 21:44:11,408] 0/1480 3.143385
[2018-01-17 21:44:13,137] 0/1500 3.170539
[2018-01-17 21:44:14,848] 0/1520 3.258082
[2018-01-17 21:44:16,542] 0/1540 3.277043
[2018-01-17 21:44:18,262] 0/1560 3.230832
[2018-01-17 21:44:19,959] 0/1580 3.162249
[2018-01-17 21:44:21,656] 0/1600 3.154411
[2018-01-17 21:44:23,352] 0/1620 3.183339
[2018-01-17 21:44:25,051] 0/1640 3.215210
[2018-01-17 21:44:26,743] 0/1660 3.278527
[2018-01-17 21:44:28,457] 0/1680 3.193451
[2018-01-17 21:44:30,170] 0/1700 3.120384
[2018-01-17 21:44:31,882] 0/1720 3.100542
[2018-01-17 21:44:33,555] 0/1740 3.111582
[2018-01-17 21:44:35,246] 0/1760 3.111241
[2018-01-17 21:44:36,959] 0/1780 3.171488
[2018-01-17 21:44:38,689] 0/1800 3.038491
[2018-01-17 21:44:40,415] 0/1820 3.062650
[2018-01-17 21:44:42,118] 0/1840 3.105855
[2018-01-17 21:44:43,824] 0/1860 3.082418
[2018-01-17 21:44:45,537] 0/1880 3.049618
[2018-01-17 21:44:47,250] 0/1900 3.052763
[2018-01-17 21:44:48,995] 0/1920 3.107217
[2018-01-17 21:44:50,738] 0/1940 3.095595
[2018-01-17 21:44:52,455] 0/1960 3.089145
[2018-01-17 21:44:54,178] 0/1980 3.024867
[2018-01-17 21:44:55,895] 0/2000 3.070883
[2018-01-17 21:44:57,614] 0/2020 3.039441
[2018-01-17 21:44:59,393] 0/2040 3.087524
[2018-01-17 21:45:01,116] 0/2060 3.078068
[2018-01-17 21:45:02,830] 0/2080 3.084616
[2018-01-17 21:45:04,539] 0/2100 2.974418
[2018-01-17 21:45:06,239] 0/2120 3.077006
[2018-01-17 21:45:07,959] 0/2140 3.000858
[2018-01-17 21:45:09,668] 0/2160 3.033226
[2018-01-17 21:45:11,359] 0/2180 2.996970
[2018-01-17 21:45:13,056] 0/2200 3.013326
[2018-01-17 21:45:14,754] 0/2220 3.016740
[2018-01-17 21:45:16,462] 0/2240 3.092157
[2018-01-17 21:45:18,147] 0/2260 3.062987
[2018-01-17 21:45:19,860] 0/2280 3.084419
[2018-01-17 21:45:21,570] 0/2300 2.879365
[2018-01-17 21:45:23,257] 0/2320 2.952643
[2018-01-17 21:45:24,969] 0/2340 2.906708
[2018-01-17 21:45:26,662] 0/2360 3.005272
[2018-01-17 21:45:28,350] 0/2380 2.949604
[2018-01-17 21:45:30,033] 0/2400 3.017220
[2018-01-17 21:45:31,734] 0/2420 2.919902
[2018-01-17 21:45:33,453] 0/2440 3.033618
[2018-01-17 21:45:35,162] 0/2460 2.941657
[2018-01-17 21:45:36,884] 0/2480 2.935957
[2018-01-17 21:45:38,570] 0/2500 2.949238
[2018-01-17 21:45:40,285] 0/2520 2.995381
[2018-01-17 21:45:41,996] 0/2540 3.021471
[2018-01-17 21:45:43,726] 0/2560 3.043501
[2018-01-17 21:45:45,442] 0/2580 3.054789
[2018-01-17 21:45:47,170] 0/2600 2.882809
[2018-01-17 21:45:48,886] 0/2620 2.913944
[2018-01-17 21:45:50,568] 0/2640 2.943610
[2018-01-17 21:45:52,246] 0/2660 3.008340
[2018-01-17 21:45:53,933] 0/2680 2.949175
[2018-01-17 21:45:55,623] 0/2700 2.949292
[2018-01-17 21:45:57,312] 0/2720 2.889420
