[2018-01-30 12:06:58,511] =============
[2018-01-30 12:09:20,270] 0/20 8.138654
[2018-01-30 12:10:37,235] 0/40 6.891009
[2018-01-30 12:11:47,995] 0/60 6.706824
[2018-01-30 12:12:54,223] 0/80 6.180990
[2018-01-30 12:14:16,176] 0/100 5.741971
[2018-01-30 12:15:10,610] 0/120 5.419588
[2018-01-30 12:16:11,117] 0/140 5.103508
[2018-01-30 12:17:08,547] 0/160 4.968565
[2018-01-30 12:18:04,232] 0/180 4.802577
[2018-01-30 12:18:54,599] 0/200 4.773606
[2018-01-30 12:19:48,155] 0/220 4.678919
[2018-01-30 12:20:49,583] 0/240 4.585788
[2018-01-30 12:21:37,851] 0/260 4.451519
[2018-01-30 12:22:26,184] 0/280 4.341494
[2018-01-30 12:23:13,674] 0/300 4.313770
[2018-01-30 12:23:54,770] 0/320 4.251790
[2018-01-30 12:24:33,512] 0/340 4.141550
[2018-01-30 12:25:09,010] 0/360 4.072636
[2018-01-30 12:25:53,023] 0/380 4.034420
[2018-01-30 12:26:32,800] 0/400 4.035926
[2018-01-30 12:27:10,072] 0/420 3.958233
[2018-01-30 12:27:40,789] 0/440 3.831977
[2018-01-30 12:28:10,450] 0/460 3.895852
[2018-01-30 12:28:40,816] 0/480 3.987965
[2018-01-30 12:29:07,369] 0/500 3.784740
[2018-01-30 12:29:31,302] 0/520 3.814122
[2018-01-30 12:30:03,452] 0/540 3.765213
[2018-01-30 12:30:28,579] 0/560 3.637676
[2018-01-30 12:30:52,524] 0/580 3.743601
[2018-01-30 12:31:17,785] 0/600 3.658952
[2018-01-30 12:31:40,563] 0/620 3.542291
[2018-01-30 12:32:05,302] 0/640 3.579429
[2018-01-30 12:32:28,767] 0/660 3.570087
[2018-01-30 12:32:58,519] 0/680 3.645459
[2018-01-30 12:33:19,279] 0/700 3.538588
[2018-01-30 12:33:39,004] 0/720 3.519123
[2018-01-30 12:34:04,196] 0/740 3.537026
[2018-01-30 12:34:19,028] 0/760 3.547599
[2018-01-30 12:34:38,627] 0/780 3.437580
[2018-01-30 12:34:53,858] 0/800 3.510763
[2018-01-30 12:35:16,479] 0/820 3.485646
[2018-01-30 12:35:36,664] 0/840 3.303602
[2018-01-30 12:35:51,768] 0/860 3.363194
[2018-01-30 12:36:05,665] 0/880 3.433507
[2018-01-30 12:36:24,049] 0/900 3.336507
[2018-01-30 12:36:38,026] 0/920 3.392484
[2018-01-30 12:36:52,867] 0/940 3.344068
[2018-01-30 12:37:10,383] 0/960 3.297172
[2018-01-30 12:37:27,541] 0/980 3.343516
[2018-01-30 12:37:45,429] 0/1000 3.331964
[2018-01-30 12:37:57,636] 0/1020 3.235220
[2018-01-30 12:38:11,203] 0/1040 3.314755
[2018-01-30 12:38:27,419] 0/1060 3.299239
[2018-01-30 12:38:45,510] 0/1080 3.347186
[2018-01-30 12:38:59,954] 0/1100 3.320873
[2018-01-30 12:39:11,761] 0/1120 3.297267
[2018-01-30 12:39:24,536] 0/1140 3.258121
[2018-01-30 12:39:38,115] 0/1160 3.293126
[2018-01-30 12:39:51,372] 0/1180 3.259393
[2018-01-30 12:40:05,051] 0/1200 3.208330
[2018-01-30 12:40:15,668] 0/1220 3.220271
[2018-01-30 12:40:26,901] 0/1240 3.202244
[2018-01-30 12:40:37,748] 0/1260 3.200852
[2018-01-30 12:40:48,785] 0/1280 3.148890
[2018-01-30 12:41:00,509] 0/1300 3.186226
[2018-01-30 12:41:09,514] 0/1320 3.137954
[2018-01-30 12:41:21,870] 0/1340 3.084271
[2018-01-30 12:41:36,308] 0/1360 3.077840
[2018-01-30 12:41:44,045] 0/1380 3.190949
[2018-01-30 12:41:52,947] 0/1400 3.100774
[2018-01-30 12:42:04,244] 0/1420 3.115066
[2018-01-30 12:42:12,817] 0/1440 3.156544
[2018-01-30 12:42:23,348] 0/1460 3.135611
[2018-01-30 12:42:31,225] 0/1480 3.153590
[2018-01-30 12:42:41,082] 0/1500 3.160522
[2018-01-30 12:42:47,960] 0/1520 3.051426
[2018-01-30 12:42:55,781] 0/1540 2.970656
[2018-01-30 12:43:03,411] 0/1560 3.080786
[2018-01-30 12:43:12,264] 0/1580 2.986829
[2018-01-30 12:43:20,079] 0/1600 3.031009
[2018-01-30 12:43:28,844] 0/1620 2.971160
[2018-01-30 12:43:35,283] 0/1640 3.028527
[2018-01-30 12:43:42,415] 0/1660 3.035573
[2018-01-30 12:43:51,092] 0/1680 3.036525
[2018-01-30 12:44:00,299] 0/1700 3.050885
[2018-01-30 12:44:07,253] 0/1720 3.048107
[2018-01-30 12:44:13,632] 0/1740 2.937460
[2018-01-30 12:44:20,409] 0/1760 2.979960
[2018-01-30 12:44:26,951] 0/1780 2.882539
[2018-01-30 12:44:34,089] 0/1800 2.935302
[2018-01-30 12:44:40,275] 0/1820 2.969601
[2018-01-30 12:44:49,505] 0/1840 2.879449
[2018-01-30 12:45:03,154] 0/1860 2.974959
[2018-01-30 12:45:08,970] 0/1880 2.928286
[2018-01-30 12:45:16,002] 0/1900 2.914368
[2018-01-30 12:45:22,872] 0/1920 3.001333
[2018-01-30 12:45:28,715] 0/1940 2.931675
[2018-01-30 12:45:35,385] 0/1960 2.937779
[2018-01-30 12:45:42,559] 0/1980 2.916118
[2018-01-30 12:45:47,296] 0/2000 2.884426
[2018-01-30 12:45:53,797] 0/2020 2.885653
[2018-01-30 12:45:59,882] 0/2040 2.849998
[2018-01-30 12:46:05,067] 0/2060 2.883724
[2018-01-30 12:46:10,341] 0/2080 2.955647
[2018-01-30 12:46:15,884] 0/2100 2.799091
[2018-01-30 12:46:20,519] 0/2120 2.981207
[2018-01-30 12:46:26,133] 0/2140 2.914955
[2018-01-30 12:46:30,403] 0/2160 2.939014
[2018-01-30 12:46:36,084] 0/2180 2.916803
[2018-01-30 12:46:41,012] 0/2200 2.874139
[2018-01-30 12:46:45,974] 0/2220 2.926206
[2018-01-30 12:46:51,879] 0/2240 2.817979
[2018-01-30 12:46:57,480] 0/2260 2.831862
[2018-01-30 12:47:00,962] 0/2280 2.788223
[2018-01-30 12:47:07,113] 0/2300 2.790529
[2018-01-30 12:47:11,031] 0/2320 2.824773
[2018-01-30 12:47:15,247] 0/2340 2.836857
[2018-01-30 12:47:19,558] 0/2360 2.892609
[2018-01-30 12:47:25,180] 0/2380 2.848509
[2018-01-30 12:47:30,979] 0/2400 2.930153
[2018-01-30 12:47:36,613] 0/2420 2.804028
[2018-01-30 12:47:40,921] 0/2440 2.758269
[2018-01-30 12:47:45,582] 0/2460 2.757834
[2018-01-30 12:47:50,174] 0/2480 2.785672
[2018-01-30 12:47:53,587] 0/2500 2.860085
[2018-01-30 12:47:58,853] 0/2520 2.812184
[2018-01-30 12:48:02,525] 0/2540 2.772974
[2018-01-30 12:48:06,629] 0/2560 2.824647
[2018-01-30 12:48:11,505] 0/2580 2.810892
[2018-01-30 12:48:14,416] 0/2600 2.809220
[2018-01-30 12:48:20,424] 0/2620 2.828949
[2018-01-30 12:48:23,288] 0/2640 2.756094
[2018-01-30 12:48:26,988] 0/2660 2.769542
[2018-01-30 12:48:30,609] 0/2680 2.748609
[2018-01-30 12:48:34,458] 0/2700 2.805783
[2018-01-30 12:48:37,282] 0/2720 2.791835
[2018-01-30 12:48:41,345] 0/2740 2.775905
[2018-01-30 12:48:43,811] 0/2760 2.732582
[2018-01-30 12:48:47,380] 0/2780 2.750213
[2018-01-30 12:48:50,700] 0/2800 2.780443
[2018-01-30 12:48:54,337] 0/2820 2.694694
[2018-01-30 12:48:57,927] 0/2840 2.846558
[2018-01-30 12:49:00,700] 0/2860 2.829446
[2018-01-30 12:49:05,679] 0/2880 2.791287
[2018-01-30 12:49:08,293] 0/2900 2.691838
[2018-01-30 12:49:11,630] 0/2920 2.740312
[2018-01-30 12:49:14,653] 0/2940 2.745213
[2018-01-30 12:49:17,447] 0/2960 2.777660
[2018-01-30 12:49:21,602] 0/2980 2.693907
[2018-01-30 12:49:25,514] 0/3000 2.789909
[2018-01-30 12:49:28,976] 0/3020 2.807879
[2018-01-30 12:49:33,805] 0/3040 2.759716
[2018-01-30 12:49:38,745] 0/3060 2.720776
[2018-01-30 12:49:44,313] 0/3080 2.749484
[2018-01-30 12:49:48,194] 0/3100 2.743706
[2018-01-30 12:49:52,363] 0/3120 2.806620
[2018-01-30 12:49:58,033] 0/3140 2.655480
[2018-01-30 12:50:01,058] 0/3160 2.728741
[2018-01-30 12:50:05,022] 0/3180 2.756975
[2018-01-30 12:50:08,691] 0/3200 2.666537
[2018-01-30 12:50:10,873] 0/3220 2.741451
[2018-01-30 12:50:17,913] 0/3240 2.742317
[2018-01-30 12:50:20,421] 0/3260 2.743826
[2018-01-30 12:50:24,673] 0/3280 2.724499
[2018-01-30 12:50:27,715] 0/3300 2.678033
[2018-01-30 12:50:29,642] 0/3320 2.716637
[2018-01-30 12:50:33,055] 0/3340 2.679472
[2018-01-30 12:50:36,109] 0/3360 2.689717
[2018-01-30 12:50:38,208] 0/3380 2.734262
[2018-01-30 12:50:40,360] 0/3400 2.684080
[2018-01-30 12:50:43,121] 0/3420 2.744800
[2018-01-30 12:50:45,802] 0/3440 2.745865
[2018-01-30 12:50:49,035] 0/3460 2.698531
[2018-01-30 12:50:52,224] 0/3480 2.680473
[2018-01-30 12:50:55,736] 0/3500 2.682688
[2018-01-30 12:50:59,090] 0/3520 2.722566
[2018-01-30 12:51:01,370] 0/3540 2.724462
[2018-01-30 12:51:04,073] 0/3560 2.713922
[2018-01-30 12:51:06,208] 0/3580 2.641579
[2018-01-30 12:51:10,495] 0/3600 2.718961
[2018-01-30 12:51:13,088] 0/3620 2.668383
[2018-01-30 12:51:15,478] 0/3640 2.656590
[2018-01-30 12:51:18,802] 0/3660 2.642390
[2018-01-30 12:51:20,858] 0/3680 2.713942
[2018-01-30 12:51:24,839] 0/3700 2.681764
[2018-01-30 12:51:27,312] 0/3720 2.585254
[2018-01-30 12:51:29,427] 0/3740 2.633493
[2018-01-30 12:51:31,450] 0/3760 2.693060
[2018-01-30 12:51:33,633] 0/3780 2.621219
[2018-01-30 12:51:36,406] 0/3800 2.643229
[2018-01-30 12:51:38,359] 0/3820 2.666292
[2018-01-30 12:51:39,763] 0/3840 2.609489
[2018-01-30 12:51:41,936] 0/3860 2.748169
[2018-01-30 12:51:43,558] 0/3880 2.602757
[2018-01-30 12:51:45,372] 0/3900 2.721704
[2018-01-30 12:51:47,693] 0/3920 2.607578
[2018-01-30 12:51:49,545] 0/3940 2.651084
[2018-01-30 12:51:51,674] 0/3960 2.646120
[2018-01-30 12:51:53,086] 0/3980 2.592026
[2018-01-30 12:51:55,179] 0/4000 2.651986
[2018-01-30 12:51:57,707] 0/4020 2.718066
[2018-01-30 12:51:59,169] 0/4040 2.663717
[2018-01-30 12:52:00,592] 0/4060 2.624808
[2018-01-30 12:52:01,982] 0/4080 2.652034
[2018-01-30 12:52:03,564] 0/4100 2.638947
[2018-01-30 12:52:05,206] 0/4120 2.617482
[2018-01-30 12:52:06,865] 0/4140 2.618725
[2018-01-30 12:52:08,811] 0/4160 2.666438
[2018-01-30 12:52:10,670] 0/4180 2.603797
[2018-01-30 12:52:12,829] 0/4200 2.639027
[2018-01-30 12:52:14,472] 0/4220 2.607977
[2018-01-30 12:52:15,822] 0/4240 2.662701
[2018-01-30 12:52:17,264] 0/4260 2.762059
[2018-01-30 12:52:18,755] 0/4280 2.613606
[2018-01-30 12:52:20,263] 0/4300 2.645288
[2018-01-30 12:52:22,430] 0/4320 2.590217
